period,regime,config,symbol,positive_label,lookforward_period,up_delta,down_delta,train_n,test_n,train_pos_rate,test_pos_rate,pos_n,reliable,train_roc_auc,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_bias,elapsed_s,error
2025-03,Strong correction (−8.4%),QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,195342,8211,0.014089313849846706,0.06077213494093289,499,True,0.9999081225926187,0.7731336635927457,0.17034115929332458,0.007952286282306162,0.5,0.004008016032064128,-0.05803720375509133,19.7,
2025-03,Strong correction (−8.4%),QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,195322,8211,0.02716324684707234,0.11569845329436122,950,True,0.9996981380600358,0.7575189730282185,0.2676104198432628,0.012461059190031152,0.46153846153846156,0.00631578947368421,-0.10943051918807088,4.4,
2025-03,Strong correction (−8.4%),QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,195262,8211,0.07163058013486215,0.23553769333820485,1934,True,0.9988741623585914,0.719250315369764,0.37362994759674173,0.04728132387706856,0.27624309392265195,0.025853154084798345,-0.19843901737194203,4.4,
2025-03,Strong correction (−8.4%),SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,195377,8211,0.010202514800470885,0.03617099013518451,297,True,0.9988841463334568,0.6422765265322757,0.09243486680246701,0.133630289532294,0.19736842105263158,0.10101010101010101,0.02361711028624417,22.1,
2025-03,Strong correction (−8.4%),SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,195372,8211,0.03196765130748319,0.10010960906101571,822,True,0.9862561279309142,0.6433191773528021,0.17810755528307387,0.22483537158984007,0.18328220858895705,0.29075425790754256,0.13054252952979697,4.4,
2025-03,Strong correction (−8.4%),SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,195377,8211,0.062369553966981156,0.16209962245767873,1331,True,0.9295281504618221,0.6174254800552129,0.2385031854406394,0.31863979848866497,0.2210894261578794,0.5702479338842975,0.287302829057519,4.2,
2025-04,Crisis crash+recovery,QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,194600,8211,0.015501884206920178,0.13433199366703202,1103,True,0.9998869479377026,0.5798757774749481,0.20006064958639813,0.0072007200720072,0.5,0.003626473254759746,-0.13121088352202942,19.7,
2025-04,Crisis crash+recovery,QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,194600,8211,0.029604887518556583,0.18280355620509073,1501,True,0.9996284602762424,0.5756332340784236,0.28398071638835454,0.08658536585365853,0.5107913669064749,0.04730179880079947,-0.16125518444305345,4.1,
2025-04,Crisis crash+recovery,QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,194600,8211,0.07645312321571314,0.28218243819266836,2317,True,0.9989586429236795,0.573952516615289,0.32613199679818883,0.06545741324921135,0.3789954337899543,0.035822183858437634,-0.24768716645032446,4.2,
2025-04,Crisis crash+recovery,SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,194600,8211,0.010517300445357999,0.08464255267324321,695,True,0.9989029131082333,0.5142268197150635,0.10044739159352248,0.04460966542750929,0.16071428571428573,0.025899280575539568,-0.05618899026455752,22.6,
2025-04,Crisis crash+recovery,SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,194600,8211,0.03317346123101519,0.16733649981731824,1374,True,0.9855487629538834,0.5331626293187233,0.19407528938616597,0.10250569476082004,0.2356020942408377,0.06550218340611354,-0.08354607088083676,4.2,
2025-04,Crisis crash+recovery,SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,194600,8211,0.06374900079936051,0.23115333089757642,1898,True,0.9290544252053102,0.5309203147969208,0.2621995072897588,0.25594364543586734,0.28893306825712395,0.2297154899894626,0.008253627324812801,4.0,
2025-11,Mild correction (−2.8%),QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,195342,7249,0.02069883451739692,0.04538557042350669,329,True,0.999682503023466,0.7286298469701495,0.11530869186237731,0.1004566210045662,0.2018348623853211,0.0668693009118541,-0.015295568080448102,21.0,
2025-11,Mild correction (−2.8%),QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,195322,7249,0.03541177206764928,0.07697613463926059,558,True,0.999590447847392,0.7567979027088761,0.20754009476354834,0.14565826330532214,0.3333333333333333,0.0931899641577061,-0.03991539330410701,4.4,
2025-11,Mild correction (−2.8%),QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,195262,7249,0.07956866873417362,0.18595668368050766,1348,True,0.998817118990238,0.6582234465113542,0.29252553441400403,0.285586791610888,0.3583426651735722,0.23738872403560832,-0.042748045846912386,4.5,
2025-11,Mild correction (−2.8%),SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,195377,7249,0.0132735058775357,0.022485860118637055,163,True,0.9976002731326971,0.608008706357823,0.12060041633673994,0.1833810888252149,0.17204301075268819,0.19631901840490798,0.03607261883281711,22.1,
2025-11,Mild correction (−2.8%),SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,195372,7249,0.036653889463926205,0.06718168023175611,487,True,0.9842387215263131,0.6246387136231155,0.13054741888348134,0.17468354430379746,0.22772277227722773,0.14168377823408623,0.028111603230768306,4.3,
2025-11,Mild correction (−2.8%),SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,195377,7249,0.06520737720300956,0.11132570009656505,807,True,0.9348952330639886,0.5640551261528376,0.15217041549650193,0.20882088208820881,0.16395759717314487,0.2874845105328377,0.17286870975069446,4.0,
2026-01,Flat / normal (−0.2%),QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,202982,7780,0.021824690857934235,0.014010282776349614,109,True,0.9996095743925065,0.8320530438120934,0.12682558121187326,0.16568047337278108,0.23333333333333334,0.12844036697247707,0.004123873465663364,4.5,
2026-01,Flat / normal (−0.2%),QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,202962,7760,0.037626255714011986,0.030283505154639175,235,True,0.9994499843809698,0.6987550717466601,0.07518243936069002,0.03205128205128205,0.06493506493506493,0.02127659574468085,-0.0012107100913819578,4.7,
2026-01,Flat / normal (−0.2%),QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,202902,7700,0.08487988127768864,0.0722077922077922,556,True,0.9984198555682808,0.7784693297993185,0.29050123365932784,0.26225165562913905,0.49748743718592964,0.17805755395683454,-0.007275527820184632,4.6,
2026-01,Flat / normal (−0.2%),SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,203017,7815,0.013452644829379088,0.00690978886756238,54,True,0.9972324287843376,0.7931800502989783,0.06527131047915057,0.1130952380952381,0.0673758865248227,0.35185185185185186,0.060806541422278315,6.0,
2026-01,Flat / normal (−0.2%),SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,203012,7810,0.038410596026490065,0.02407170294494238,188,True,0.9821141800250234,0.6824938448053506,0.09036081260298136,0.14464285714285716,0.08690987124463519,0.4308510638297872,0.1612366789701501,4.6,
2026-01,Flat / normal (−0.2%),SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,203017,7815,0.06748214432312619,0.04990403071017274,390,True,0.9318964036434731,0.69333678667012,0.12096951611729728,0.1853146853146853,0.11169652265542676,0.5435897435897435,0.2614930747452258,4.3,
2026-02,Mild correction (−2.3%),QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,202982,7389,0.021802795005556073,0.028555961564487753,211,True,0.9996042603279944,0.6749295834164158,0.04247828469803183,0.045779685264663805,0.03278688524590164,0.07582938388625593,0.06555881886153764,5.3,
2026-02,Mild correction (−2.3%),QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,202962,7369,0.03775216927161744,0.05007463699280771,369,True,0.9993527645881031,0.6233422377080914,0.06063925765553071,0.081008100810081,0.06064690026954178,0.12195121951219512,0.09189097577631919,5.1,
2026-02,Mild correction (−2.3%),QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,202902,7309,0.08575058457595654,0.13312354631276507,972,True,0.998499038003793,0.5894901773386486,0.14839277992902972,0.01915492957746479,0.02119700748129676,0.017471736896197326,0.0328635578647099,5.1,
2026-02,Mild correction (−2.3%),SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,203017,7424,0.013611361957146375,0.01818426724137931,135,True,0.9972557177474676,0.856735923741,0.11941968407259117,0.17418351477449456,0.11023622047244094,0.4148148148148148,0.10095718477306695,6.5,
2026-02,Mild correction (−2.3%),SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,203012,7419,0.038558371189316404,0.05351125488610325,397,True,0.9814301465038148,0.7521553347629293,0.15717852487075437,0.2527121888959796,0.16923076923076924,0.4987405541561713,0.1950458358731741,4.9,
2026-02,Mild correction (−2.3%),SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,203017,7424,0.06842897408532414,0.09280711206896551,689,True,0.9301617469631648,0.7204773710971971,0.19522717779644289,0.28448892065761255,0.18871503082029398,0.5776487663280117,0.2862015387107586,4.7,
2026-03,Correction (−3.8%),QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,202200,8602,0.022513463017914057,0.03627063473610788,312,True,0.9994819855722084,0.8334551204726114,0.18057477813362818,0.23572744014732966,0.27705627705627706,0.20512820512820512,0.020007761661721177,4.6,
2026-03,Correction (−3.8%),QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,202180,8602,0.03906310108704015,0.06254359451290398,538,True,0.9993028728545353,0.8057242801085739,0.23294294179977004,0.3054032889584965,0.2638700947225981,0.362453531598513,0.06233799340966911,4.6,
2026-03,Correction (−3.8%),QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,202120,8602,0.08919893572575148,0.12857475005812602,1106,True,0.9979149148309343,0.7719791724965792,0.29199295616138876,0.39709944751381215,0.32122905027932963,0.5198915009041591,0.13658473766617818,4.5,
2026-03,Correction (−3.8%),SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,202235,8602,0.013999153897291922,0.013717740060451058,118,True,0.9969702828159127,0.7493077697600269,0.04768201506096169,0.09649122807017543,0.0650887573964497,0.1864406779661017,0.07939719480120895,6.1,
2026-03,Correction (−3.8%),SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,202230,8602,0.039981978715104366,0.04371076493838642,376,True,0.9804315318867948,0.7242885169493717,0.10986173469881488,0.19394618834080718,0.12286931818181818,0.4601063829787234,0.20889371961971903,4.3,
2026-03,Correction (−3.8%),SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,202235,8602,0.0703309140656334,0.09730295280167403,837,True,0.9283584155655796,0.6864021614618794,0.18510989475555026,0.26511249661154784,0.1714586255259467,0.5842293906810035,0.31466053983023823,4.2,
2026-04,Recovery (+14.9%),QQQ-dn h=40  d=1.0%,QQQ,down,40,0.01,0.01,203022,8211,0.023588132597047926,0.011691633175009134,96,True,0.9994406612486737,0.8887553912507701,0.4423436351616241,0.5095541401273885,0.6557377049180327,0.4166666666666667,-0.0008139559355314994,4.3,
2026-04,Recovery (+14.9%),QQQ-dn h=60  d=1.0%,QQQ,down,60,0.01,0.01,203022,8211,0.040980959834499966,0.021800024357569114,179,True,0.999291895473311,0.8679054730797481,0.3406019727584876,0.35714285714285715,0.3821656050955414,0.33519553072625696,0.0026558209984184344,4.4,
2026-04,Recovery (+14.9%),QQQ-dn h=120 d=1.0%,QQQ,down,120,0.01,0.01,203022,8211,0.0927818125099196,0.05334307636097917,438,True,0.9980947461244963,0.7573273484435938,0.17468982618174153,0.30193548387096775,0.34718100890207715,0.2671232876712329,0.003827318447074797,4.3,
2026-04,Recovery (+14.9%),SQQQ-up h=5  d=1.0%,SQQQ,up,5,0.01,0.01,203022,8211,0.014278755903874256,0.006211180124223602,51,True,0.9969201479637493,0.8719579008073818,0.09844830015730922,0.1494661921708185,0.09130434782608696,0.4117647058823529,0.054357405867635836,4.1,
2026-04,Recovery (+14.9%),SQQQ-up h=10 d=1.0%,SQQQ,up,10,0.01,0.01,203022,8211,0.04081677329670149,0.020582145901838995,169,True,0.980192736536802,0.7547329184503251,0.08423488970056826,0.1806282722513089,0.11596638655462185,0.40828402366863903,0.1116733039892514,4.1,
2026-04,Recovery (+14.9%),SQQQ-up h=5  d=0.5%,SQQQ,up,5,0.005,0.005,203022,8211,0.07227491393888977,0.04372183656071124,359,True,0.9251300906025578,0.7246039899704421,0.14120705720328733,0.20893470790378008,0.1386861313868613,0.4233983286908078,0.21339585209514203,4.1,
